country_id,report_country,IDF region,Report Age,Report Gender,Report set,"Adults with diabetes (20-79) in 1,000s","Adults population (20-79) in 1,000s",Diabetes prevalence (20-79)
121,Malta,EUR,65-69,Female,Urban,3.237391951,13.41882795,24.13%
121,Malta,EUR,20-24,Male,Rural,0.003464807,0.581985648,0.60%
121,Malta,EUR,35-39,Male,Rural,0.026514251,0.707008014,3.75%
121,Malta,EUR,50-54,Male,Rural,0.081160507,0.605944638,13.39%
121,Malta,EUR,65-69,Male,Urban,4.141857955,13.21797592,31.34%
131,Montenegro,EUR,20-24,Female,Urban,0.154065041,13.38094373,1.15%
131,Montenegro,EUR,35-39,Female,Rural,0.365858243,8.008072062,4.57%
131,Montenegro,EUR,50-54,Female,Rural,1.010660113,7.492225572,13.49%
131,Montenegro,EUR,65-69,Female,Urban,3.514964481,11.26782406,31.19%
131,Montenegro,EUR,20-24,Male,Rural,0.051105975,7.919133012,0.65%
131,Montenegro,EUR,35-39,Male,Rural,0.348609899,8.0045145,4.36%
131,Montenegro,EUR,50-54,Male,Urban,2.189388346,13.20055546,16.59%
131,Montenegro,EUR,65-69,Male,Rural,1.143269736,5.347015686,21.38%
142,Nicaragua,SACA,20-24,Female,Rural,0.689567052,116.5657613,0.59%
142,Nicaragua,SACA,35-39,Female,Urban,8.881054079,141.1492635,6.29%
142,Nicaragua,SACA,50-54,Female,Urban,17.30614691,80.47754899,21.50%
142,Nicaragua,SACA,65-69,Female,Rural,7.066765827,25.80345766,27.39%
142,Nicaragua,SACA,20-24,Male,Rural,1.016096927,122.2520938,0.83%
142,Nicaragua,SACA,35-39,Male,Rural,6.911669239,89.29002208,7.74%
142,Nicaragua,SACA,50-54,Male,Rural,8.906101992,46.07065005,19.33%
142,Nicaragua,SACA,65-69,Male,Urban,6.095348773,30.3150528,20.11%
152,Papua New Guinea,WP,20-24,Female,Rural,47.73929856,311.5543619,15.32%
152,Papua New Guinea,WP,35-39,Female,Urban,6.482949794,32.88340916,19.71%
152,Papua New Guinea,WP,50-54,Female,Urban,3.279603199,18.3233736,17.90%
152,Papua New Guinea,WP,65-69,Female,Rural,6.227096283,54.31298353,11.47%
152,Papua New Guinea,WP,20-24,Male,Urban,9.690137677,49.74907811,19.48%
152,Papua New Guinea,WP,35-39,Male,Urban,7.249138083,34.36597592,21.09%
152,Papua New Guinea,WP,50-54,Male,Rural,20.12851378,121.4111165,16.58%
152,Papua New Guinea,WP,65-69,Male,Rural,8.379174709,44.63937965,18.77%
162,Russian Federation,EUR,20-24,Female,Urban,11.93367307,2742.36701,0.44%
162,Russian Federation,EUR,35-39,Female,Rural,37.23685934,1448.013199,2.57%
162,Russian Federation,EUR,50-54,Female,Urban,406.4853365,3907.154704,10.40%
162,Russian Federation,EUR,65-69,Female,Rural,184.1350551,1090.036801,16.89%
162,Russian Federation,EUR,20-24,Male,Rural,4.632242315,1005.100376,0.46%
162,Russian Federation,EUR,35-39,Male,Rural,43.52311293,1401.346534,3.11%
162,Russian Federation,EUR,50-54,Male,Urban,356.8992233,3350.839523,10.65%
162,Russian Federation,EUR,65-69,Male,Urban,302.3583256,2021.469442,14.96%
172,Singapore,WP,20-24,Female,Urban,0.850374424,189.81,0.45%
172,Singapore,WP,35-39,Female,Rural,0,0,NA
172,Singapore,WP,50-54,Female,Rural,0,0,NA
172,Singapore,WP,65-69,Female,Rural,0,0,NA
172,Singapore,WP,20-24,Male,Urban,1.155778567,196.69,0.59%
172,Singapore,WP,35-39,Male,Urban,11.02548174,206.57,5.34%
172,Singapore,WP,50-54,Male,Rural,0,0,NA
172,Singapore,WP,65-69,Male,Rural,0,0,NA
182,St Vincent and the Grenadines,NAC,20-24,Female,Rural,0.028838169,2.26703589,1.27%
182,St Vincent and the Grenadines,NAC,35-39,Female,Rural,0.117405819,1.911135632,6.14%
182,St Vincent and the Grenadines,NAC,50-54,Female,Urban,0.320639993,1.706509782,18.79%
182,St Vincent and the Grenadines,NAC,65-69,Female,Urban,0.268472983,0.79432137,33.80%
182,St Vincent and the Grenadines,NAC,20-24,Male,Urban,0.027842075,2.45983392,1.13%
182,St Vincent and the Grenadines,NAC,35-39,Male,Urban,0.125546497,2.0498616,6.12%
182,St Vincent and the Grenadines,NAC,50-54,Male,Urban,0.343749181,1.829501478,18.79%
182,St Vincent and the Grenadines,NAC,65-69,Male,Urban,0.254616312,0.753324138,33.80%
192,Thailand,WP,20-24,Female,Urban,3.444865828,1170.075138,0.29%
192,Thailand,WP,35-39,Female,Rural,47.80806986,1263.454964,3.78%
192,Thailand,WP,50-54,Female,Rural,129.3300022,1291.461794,10.01%
192,Thailand,WP,65-69,Female,Urban,167.4274939,786.0681949,21.30%
192,Thailand,WP,20-24,Male,Rural,10.11206368,1058.697918,0.96%
192,Thailand,WP,35-39,Male,Urban,90.98927389,1410.864218,6.45%
192,Thailand,WP,50-54,Male,Rural,95.86579562,1230.705386,7.79%
192,Thailand,WP,65-69,Male,Urban,126.3873814,710.1115879,17.80%
202,Uganda,AFR,20-24,Female,Rural,5.746837329,1593.783179,0.36%
202,Uganda,AFR,35-39,Female,Urban,4.251565223,170.1358132,2.50%
202,Uganda,AFR,50-54,Female,Urban,2.596007085,67.91224315,3.82%
202,Uganda,AFR,65-69,Female,Urban,1.127973601,38.85594029,2.90%
202,Uganda,AFR,20-24,Male,Urban,3.91886571,322.0293537,1.22%
202,Uganda,AFR,35-39,Male,Rural,16.12836046,842.5048008,1.91%
202,Uganda,AFR,50-54,Male,Urban,4.873771149,68.39088868,7.13%
202,Uganda,AFR,65-69,Male,Urban,1.728762012,29.97160747,5.77%
212,Vietnam,WP,20-24,Female,Urban,4.731284744,1385.35447,0.34%
212,Vietnam,WP,35-39,Female,Rural,49.48507879,2423.101426,2.04%
212,Vietnam,WP,50-54,Female,Urban,104.9015147,1001.062572,10.48%
212,Vietnam,WP,65-69,Female,Rural,98.45111918,855.3915452,11.51%
212,Vietnam,WP,20-24,Male,Rural,29.20087719,2702.774711,1.08%
212,Vietnam,WP,35-39,Male,Urban,65.6391254,1285.495497,5.11%
212,Vietnam,WP,50-54,Male,Rural,163.0540931,1798.339727,9.07%
212,Vietnam,WP,65-69,Male,Urban,54.94180595,345.6366994,15.90%
222,Greenland,EUR,20-24,Female,Urban,0.000935838,1.73892,0.05%
222,Greenland,EUR,35-39,Female,Rural,0.00101896,0.19768,0.52%
222,Greenland,EUR,50-54,Female,Rural,0.00868386,0.30758,2.82%
222,Greenland,EUR,65-69,Female,Rural,0.007856834,0.10304,7.63%
222,Greenland,EUR,20-24,Male,Rural,0.000159806,0.29358,0.05%
222,Greenland,EUR,35-39,Male,Urban,0.006680225,1.27108,0.53%
222,Greenland,EUR,50-54,Male,Rural,0.007365729,0.3262,2.26%
222,Greenland,EUR,65-69,Male,Urban,0.055770507,0.74734,7.46%
